Date,US_Equities,Intl_Equities,US_Bonds,Real_Estate,Commodities,Gold
2016-01-04,60.48785400390625,11.210503578186035,102.88999938964844,170.37220764160156,52.95097732543945,32.674964904785156
2016-01-05,60.56279754638672,11.10059642791748,103.18000030517578,170.66036987304688,53.97275161743164,32.616004943847656
2016-01-06,60.83258819580078,10.923054695129395,104.66999816894531,168.50759887695312,53.824859619140625,32.06318664550781
2016-01-07,60.84007263183594,10.872326850891113,106.1500015258789,164.46487426757812,52.77620315551758,31.39980697631836
2016-01-08,60.915016174316406,10.821600914001465,105.68000030517578,162.65956115722656,52.07036209106445,31.031269073486328
2016-01-11,60.66021728515625,10.5256986618042,104.73999786376953,162.8206024169922,52.366146087646484,31.09760093688965
2016-01-12,60.81760787963867,10.458063125610352,104.20999908447266,164.13426208496094,52.01657485961914,31.17131805419922
2016-01-13,60.96744918823242,10.398882865905762,104.72000122070312,160.04067993164062,51.27042770385742,30.74380874633789
2016-01-14,60.89252853393555,10.424245834350586,103.0199966430664,162.66802978515625,51.149410247802734,31.156579971313477
2016-01-15,60.997440338134766,10.20443058013916,104.08000183105469,159.17617797851562,50.79985427856445,29.955142974853516
2016-01-19,60.92251968383789,10.119889259338379,103.9800033569336,159.38809204101562,51.068748474121094,30.308917999267578
2016-01-20,60.98991394042969,10.04379940032959,105.37000274658203,157.3455047607422,49.697425842285156,29.564468383789062
2016-01-21,60.95244216918945,10.179068565368652,105.48999786376953,158.22695922851562,49.973018646240234,29.81508445739746
2016-01-22,60.93001174926758,10.48342514038086,105.0,161.47303771972656,51.36453628540039,30.706941604614258
2016-01-25,60.93001174926758,10.255158424377441,106.08000183105469,159.0321044921875,51.04185485839844,30.19099235534668
2016-01-26,61.01990509033203,10.458063125610352,107.29000091552734,161.20179748535156,52.11069869995117,30.773286819458008
2016-01-27,61.01990509033203,10.584877014160156,107.69000244140625,159.44737243652344,51.10234832763672,30.625883102416992
2016-01-28,61.06488037109375,10.703239440917969,106.54000091552734,160.27796936035156,50.71247100830078,30.824888229370117
2016-01-29,61.244747161865234,10.804693222045898,106.94999694824219,164.18516540527344,51.75440979003906,31.436668395996094
2016-02-01,61.12007141113281,10.601787567138672,108.05000305175781,164.12576293945312,51.8418083190918,31.30399513244629
2016-02-02,61.33033752441406,10.415790557861328,108.08999633789062,161.1678924560547,51.37125778198242,30.589017868041992
2016-02-03,61.37544631958008,10.677876472473145,109.25,162.13409423828125,51.71408462524414,30.979677200317383
2016-02-04,61.420433044433594,10.660967826843262,110.56999969482422,162.38836669921875,51.74095916748047,31.12710952758789
2016-02-05,61.3603515625,10.593332290649414,112.31999969482422,159.2948455810547,50.75951385498047,30.706941604614258
2016-02-08,61.623191833496094,10.542607307434082,113.83000183105469,157.1505584716797,49.307518005371094,30.161523818969727
2016-02-09,61.61568832397461,10.272067070007324,113.58000183105469,157.15904235839844,48.40003204345703,29.74875259399414
2016-02-10,61.74336242675781,10.288975715637207,114.45999908447266,157.02345275878906,48.73615264892578,29.74136734008789
2016-02-11,61.7808952331543,10.415790557861328,119.05999755859375,154.9808807373047,48.04375076293945,29.284381866455078
2016-02-12,61.57814407348633,10.567970275878906,118.36000061035156,158.17611694335938,48.594970703125,29.77086067199707
2016-02-16,61.48801040649414,10.44960880279541,114.7699966430664,160.84580993652344,49.48902130126953,30.3900089263916
2016-02-17,61.473018646240234,10.669422149658203,115.4800033569336,163.4732208251953,49.91252899169922,30.979677200317383
2016-02-18,61.683265686035156,10.610240936279297,118.29000091552734,162.80368041992188,50.416709899902344,30.847003936767578
2016-02-19,61.600669860839844,10.517244338989258,117.58000183105469,162.72738647460938,50.705745697021484,30.736440658569336
2016-02-22,61.61568832397461,10.677876472473145,115.48999786376953,165.0835418701172,51.18975067138672,31.08287811279297
2016-02-23,61.65322494506836,10.534152030944824,117.22000122070312,162.99859619140625,51.055301666259766,30.61850929260254
2016-02-24,61.69828796386719,10.669422149658203,117.61000061035156,163.7444305419922,50.99481964111328,30.5447940826416
2016-02-25,61.78843307495117,10.660967826843262,117.91999816894531,165.72769165039062,52.03675079345703,30.86174774169922
2016-02-26,61.728336334228516,10.644059181213379,117.11000061035156,165.34625244140625,51.767879486083984,30.773286819458008
2016-02-29,61.76591491699219,10.779329299926758,118.63999938964844,164.04953002929688,51.566184997558594,30.6627254486084
2016-03-01,61.55895233154297,10.7877836227417,117.7699966430664,167.90582275390625,53.01819610595703,31.532485961914062
2016-03-02,61.52133560180664,10.846963882446289,118.68000030517578,168.66014099121094,53.40135192871094,31.83469009399414
2016-03-03,61.551395416259766,10.906145095825195,120.7300033569336,169.3212432861328,53.68368911743164,32.17374801635742
2016-03-04,61.52133560180664,11.117504119873047,120.54000091552734,169.8721466064453,53.69041061401367,32.512813568115234
2016-03-07,61.50627136230469,11.320409774780273,121.13999938964844,170.00772094726562,53.831581115722656,32.46857833862305
2016-03-08,61.70944595336914,11.168229103088379,120.58000183105469,168.151611328125,53.280364990234375,32.018978118896484
2016-03-09,61.6041259765625,11.33731746673584,119.58000183105469,168.98223876953125,53.57614517211914,32.2474479675293
2016-03-10,61.574058532714844,11.320409774780273,121.5,169.11782836914062,53.38119888305664,32.188507080078125
2016-03-11,61.491249084472656,11.36268138885498,119.41000366210938,171.8468780517578,54.57774353027344,33.01402282714844
2016-03-14,61.62668991088867,11.261228561401367,117.87000274658203,171.62655639648438,54.5844612121582,32.837135314941406
2016-03-15,61.566505432128906,11.168229103088379,117.95999908447266,171.3468780517578,54.61137390136719,32.47700881958008
